group,n,prevalence,TPR,selection_rate
0,21064,0.006,0.0,0.0
1,16955,0.008,0.0,0.0
2,18753,0.012,0.013,0.0
3,20550,0.014,0.007,0.001
4,21006,0.023,0.029,0.002
5,21791,0.034,0.042,0.003
6,25382,0.054,0.06,0.007
7,29757,0.074,0.087,0.017
8,33686,0.099,0.128,0.03
9,34151,0.12,0.208,0.119
10,31065,0.156,0.315,0.214
11,21482,0.188,0.398,0.266
12,24153,0.226,0.439,0.354
