group,n,prevalence,TPR,selection_rate
0,5202,0.104,0.266,0.075
1,8068,0.033,0.222,0.038
2,22939,0.075,0.223,0.067
3,27446,0.053,0.162,0.03
4,10928,0.081,0.24,0.064
5,245212,0.092,0.279,0.097
