quantity,point,ci_low,ci_high
survey_sex_gap_agematched,0.1117,0.0693,0.1555
clinical_sex_gap_measured,0.0122,0.0006,0.0349
attribution_score_rel_reduction,0.8911,0.6538,0.9929
binarized_minus_measured_gap,0.0006,-0.0128,0.0151
