variant,AUC,AUPRC,Brier,sex_tpr_gap,shap_top5
measured,0.8064,0.7874,0.1797,0.0122,"[('ap_hi', 0.8593), ('age_years', 0.2871), ('cholesterol', 0.2378), ('ap_lo', 0.089), ('bmi', 0.0874)]"
binarized(survey),0.7775,0.7467,0.1916,0.013,"[('HighBP_flag', 0.8148), ('Age_band', 0.3281), ('HighChol_flag', 0.2393), ('BMI_band', 0.1464), ('active', 0.0656)]"
