model,AUC,AUPRC,ECE_raw,ECE_platt,Brier_platt,Sensitivity_platt,Specificity_platt
LogReg,0.847,0.3629,0.2558,0.0056,0.0706,0.7376,0.7949
XGBoost,0.8488,0.369,0.2409,0.012,0.0704,0.7464,0.7872
LightGBM,0.8501,0.3719,0.2448,0.0094,0.0702,0.7556,0.7818
RandomForest,0.8459,0.3597,0.2553,0.0095,0.0709,0.7345,0.7918
MLP,0.8493,0.3671,0.2585,0.007,0.0703,0.7826,0.7619
Stack (EXHEART),0.8502,0.3699,0.2563,0.0123,0.0706,0.7721,0.7717
