feature,mean_abs_lime,lime_rank
ap_hi,0.30586141912401127,1
cholesterol,0.19091800781883464,2
age,0.09108257390230196,3
alco,0.06885899316906546,4
ap_lo,0.06126788818340355,5
smoke,0.03833053874661094,6
weight,0.030605526340270615,7
bmi,0.022452713186698614,8
gender,0.01772449788074839,9
gluc,0.016477715461619077,10
height,0.013660240122085584,11
active,0.0,12
