group,n,prevalence,TPR,selection_rate,label
1.0,1,0.0,,0.0,<35
2.0,2005,0.269,0.554,0.192,35-45
3.0,5597,0.442,0.595,0.338,45-55
4.0,6143,0.617,0.767,0.632,55-65
