Metric,BRFSS 2015,BRFSS 2020 Transport,BRFSS 2020 Retrained,Cardio
Sex/Gender TPR gap,0.124,0.22,0.164,0.014
Age TPR gap,0.9,0.000-0.900,0.838,0.21
Race TPR gap,N/A,0.117,0.206,N/A
Female/Female TPR,0.705,0.138,0.636,0.682
Male TPR,0.829,0.358,0.8,0.696
