construct,gap_objective,gap_injected,gap_self_report,recovered_frac,old_sens,old_spec,young_sens,young_spec
cholesterol,-0.1813,0.3803,0.3281,1.159,0.605,0.464,0.585,0.595
hypertension,0.0469,0.4423,0.2319,1.907,0.632,0.473,0.555,0.655
