construct,n_truepos,LR_chi2,df,LR_p,bmi_x_old_beta,pir_x_old_beta,sex_x_old_beta,bmi_x_old_p,pir_x_old_p,sex_x_old_p
cholesterol,328,0.564,3,0.90461,-0.0776,-0.1122,0.2416,0.7425,0.6307,0.6106
hypertension,1337,6.393,3,0.093964,0.2207,-0.0701,-0.3732,0.0896,0.5427,0.1104
