seed,gap_objective,gap_injected,gap_self_report
0,0.0517,-0.0186,-0.0787
13,0.0484,0.0498,-0.0818
42,-0.0104,-0.0475,-0.0722
101,0.0175,-0.038,-0.0779
202,-0.0038,0.005,-0.0559

sens_female,0.5820238843494657,spec_female,0.7713936430317848,sens_male,0.5013819789939193,spec_male,0.7285780453913849
