construct,band,label,seed,gap
cholesterol,full,sr,0,0.8864
cholesterol,full,sr,13,0.8922
cholesterol,full,sr,42,0.8827
cholesterol,full,sr,101,0.8777
cholesterol,full,sr,202,0.8808
cholesterol,full,obj,0,0.3129
cholesterol,full,obj,13,0.264
cholesterol,full,obj,42,0.3588
cholesterol,full,obj,101,0.2934
cholesterol,full,obj,202,0.1929
cholesterol,narrow,sr,0,0.3199
cholesterol,narrow,sr,13,0.383
cholesterol,narrow,sr,42,0.4265
cholesterol,narrow,sr,101,0.2258
cholesterol,narrow,sr,202,0.4245
cholesterol,narrow,obj,0,-0.0075
cholesterol,narrow,obj,13,-0.0941
cholesterol,narrow,obj,42,-0.0438
cholesterol,narrow,obj,101,-0.1551
cholesterol,narrow,obj,202,-0.1409
hypertension,full,sr,0,0.839
hypertension,full,sr,13,0.8318
hypertension,full,sr,42,0.841
hypertension,full,sr,101,0.8879
hypertension,full,sr,202,0.8535
hypertension,full,obj,0,0.6258
hypertension,full,obj,13,0.6272
hypertension,full,obj,42,0.6031
hypertension,full,obj,101,0.5528
hypertension,full,obj,202,0.4613
hypertension,narrow,sr,0,0.2951
hypertension,narrow,sr,13,0.2741
hypertension,narrow,sr,42,0.2747
hypertension,narrow,sr,101,0.3844
hypertension,narrow,sr,202,0.2088
hypertension,narrow,obj,0,0.1003
hypertension,narrow,obj,13,0.1527
hypertension,narrow,obj,42,0.012
hypertension,narrow,obj,101,0.0441
hypertension,narrow,obj,202,0.1204
