construct,age_contrast,old_sens,old_spec,young_sens,young_spec,old_n_pos,young_n_pos,sens_diff_p,uniform_DIF_OR_old,uniform_DIF_p,nonuniform_DIF_p
cholesterol,narrow_60-70_vs_50-59,0.6023,0.4659,0.5829,0.5946,176,199,0.783016,1.5937,0.0,0.05666
cholesterol,full_60+_vs_<45,0.663,0.444,0.3472,0.878,276,193,0.0,8.367,0.0,8.9e-05
hypertension,narrow_60-70_vs_50-59,0.628,0.4761,0.5542,0.6546,879,673,0.003949,1.7333,0.0,0.011362
hypertension,full_60+_vs_<45,0.6512,0.4416,0.3298,0.9263,1574,840,0.0,9.0324,0.0,0.0

age_gap_ratio,5.129,evalue,9.731
