construct,group,sr_gap,obj_gap,collapse,n
hypertension,sex_M_vs_F,-0.0294,0.0269,0.0024,9681
hypertension,race_Black_vs_White,0.0925,0.2131,-0.1206,5918
hypertension,race_Hisp_vs_White,-0.1403,-0.0775,0.0628,5480
hypertension,race_Asian_vs_White,-0.1428,-0.0941,0.0487,4535
hypertension,income_low_vs_high,0.0252,0.0104,0.0148,5455
hypertension,age_old_vs_young,0.8506,0.574,0.2766,7405
cholesterol,sex_M_vs_F,0.0075,-0.1445,-0.137,9627
cholesterol,race_Black_vs_White,-0.129,-0.0768,0.0523,5879
cholesterol,race_Hisp_vs_White,-0.1453,-0.0062,0.1391,5454
cholesterol,race_Asian_vs_White,-0.2217,0.0647,0.157,4513
cholesterol,income_low_vs_high,-0.0706,-0.1391,-0.0685,5429
cholesterol,age_old_vs_young,0.884,0.2844,0.5996,7361
diabetes,sex_M_vs_F,0.0724,0.0535,0.0189,9688
diabetes,race_Black_vs_White,-0.0362,0.0397,-0.0036,5924
diabetes,race_Hisp_vs_White,-0.052,0.0342,0.0179,5487
diabetes,race_Asian_vs_White,-0.1794,-0.0455,0.1339,4541
diabetes,income_low_vs_high,0.1137,0.0101,0.1036,5459
diabetes,age_old_vs_young,0.7355,0.7287,0.0068,7411
