group,n,prevalence,TPR,selection_rate
0,4294,0.006,0.083,0.003
1,3384,0.008,0.074,0.004
2,3740,0.012,0.152,0.006
3,4053,0.016,0.078,0.013
4,4113,0.024,0.23,0.024
5,4407,0.031,0.375,0.057
6,5055,0.058,0.433,0.112
7,6012,0.074,0.525,0.193
8,6685,0.1,0.67,0.3
9,6883,0.119,0.731,0.384
10,6207,0.153,0.826,0.551
11,4237,0.186,0.896,0.643
12,4889,0.228,0.912,0.753
