feature,mean_abs_shap,shap_rank
AgeCategory,0.9812538,1
GenHealth,0.4446531,2
Sex,0.32628748,3
Smoking,0.1880622,4
Diabetic,0.16606261,5
DiffWalking,0.13028441,6
Stroke,0.12904066,7
PhysicalHealth,0.104472324,8
BMI,0.096949115,9
KidneyDisease,0.064343266,10
Asthma,0.061974324,11
SleepTime,0.05955342,12
Race,0.05380609,13
MentalHealth,0.03638616,14
AlcoholDrinking,0.022262443,15
SkinCancer,0.01510262,16
PhysicalActivity,0.013163838,17
