threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.08629777752294308,0.0850439112028516,0.0
0.014949494949494949,0.08292644334461534,0.08044661338178308,0.0
0.0198989898989899,0.0799184860037208,0.07580288299486226,0.0
0.02484848484848485,0.07712106138229476,0.07111201302042143,0.0
0.029797979797979796,0.07489059328824421,0.06637328200928147,0.0
0.03474747474747475,0.07274348133771429,0.06158595371485439,0.0
0.039696969696969696,0.07063044916662015,0.05674927671180694,0.0
0.04464646464646465,0.06850251629488241,0.05186248400287043,0.0
0.049595959595959596,0.06648273245229519,0.046924792613364706,0.0
0.05454545454545454,0.06486935388011547,0.041935403172985955,0.0
0.059494949494949496,0.06311014020540635,0.036893499484389275,0.0
0.06444444444444444,0.061383044904422576,0.031798248078076935,0.0
0.06939393939393938,0.059643159818696403,0.02664879775308246,0.0
0.07434343434343434,0.05798314459346976,0.02144427910291888,0.0
0.07929292929292929,0.056388729162893364,0.016183804026236814,0.0
0.08424242424242423,0.05486725799931168,0.010866465221613567,0.0
0.08919191919191918,0.053270702765549516,0.005491335665869873,0.0
0.09414141414141414,0.051633689820015295,5.7468075284186626e-05,0.0
0.09909090909090908,0.050365800084710685,-0.005436105650953177,0.0
0.10404040404040403,0.04886725795389944,-0.010990375005732952,0.0
0.10898989898989898,0.047323455419145934,-0.01660635146818404,0.0
0.11393939393939392,0.046081408075320074,-0.022285069117744097,0.0
0.11888888888888888,0.044935149802970885,-0.028027585268927124,0.0
0.12383838383838383,0.043480838242759,-0.03383498112760565,0.0
0.12878787878787878,0.04225830556812416,-0.03970836246966396,0.0
0.13373737373737374,0.04088059767682402,-0.045648860342916445,0.0
0.1386868686868687,0.03960813050958727,-0.05165763179322759,0.0
0.14363636363636365,0.03834641131378381,-0.05773586061581169,0.0
0.1485858585858586,0.037085818194076185,-0.06388475813273835,0.0
0.15353535353535352,0.036012473949101675,-0.07010556399771496,0.0
0.15848484848484848,0.03500746292216315,-0.07639954702927036,0.0
0.16343434343434343,0.03373560222741244,-0.08276800607351505,0.0
0.16838383838383839,0.03258204898616045,-0.08921227089771062,0.0
0.17333333333333334,0.0317999689728487,-0.09573370311593983,0.0
0.1782828282828283,0.030788223290472184,-0.10233369714823005,0.0
0.18323232323232325,0.030017713825820545,-0.10901368121455,0.0
0.18818181818181817,0.02907521551518645,-0.11577511836516753,0.0
0.19313131313131313,0.028150798019798536,-0.12261950754892982,0.0
0.19808080808080808,0.02726144487319724,-0.12954838472110486,0.0
0.20303030303030303,0.02641857110481994,-0.13656332399250337,0.0
0.207979797979798,0.025611218650270474,-0.14366593882168743,0.0
0.21292929292929294,0.02474832275880557,-0.1508578832521627,0.0
0.21787878787878787,0.02388899712390146,-0.15814085319654547,0.0
0.22282828282828282,0.023010482474681807,-0.16551658776980138,0.0
0.22777777777777777,0.022503851223656834,-0.1729868706737543,0.0
0.23272727272727273,0.021547185617287003,-0.18055353163518317,0.0
0.23767676767676768,0.020621259616546983,-0.18821844789994063,0.0
0.24262626262626263,0.01956146573386667,-0.1959835457856564,0.0
0.24757575757575756,0.018655293396547173,-0.20385080229572444,0.0
0.2525252525252525,0.018064629198735166,-0.2118222467974123,0.0
0.25747474747474747,0.017326799598335843,-0.2198999627670863,0.0
0.26242424242424245,0.016819580928955837,-0.2280860896057042,0.0
0.2673737373737374,0.016182662570535404,-0.23638282452789905,0.0
0.2723232323232323,0.01579710569358521,-0.24479242452815814,0.0
0.2772727272727273,0.015240440588747475,-0.253317208427792,0.0
0.2822222222222222,0.014974864117832568,-0.2619595590065932,0.0
0.2871717171717172,0.014169869290237305,-0.27072192522330335,0.0
0.2921212121212121,0.013430353146883362,-0.2796068245292311,0.0
0.29707070707070704,0.012740379419231146,-0.2886168452796165,0.0
0.302020202020202,0.012124622517469048,-0.2977546492475907,0.0
0.30696969696969695,0.012002389108665017,-0.3070229742458608,0.0
0.31191919191919193,0.011638441391108086,-0.31642463686154604,0.0
0.31686868686868686,0.011179518516565245,-0.32596253530989966,0.0
0.32181818181818184,0.010753029084794082,-0.3356396524129955,0.0
0.32676767676767676,0.010392395284251527,-0.3454590587098052,0.0
0.3317171717171717,0.01013972749185199,-0.3554239157044817,0.0
0.33666666666666667,0.009854440128742106,-0.3655374792600657,0.0
