group,n,prevalence,TPR,selection_rate
1.0,1984,0.157,0.872,0.518
2.0,2295,0.186,0.881,0.57
3.0,3239,0.152,0.838,0.484
4.0,4094,0.141,0.815,0.428
5.0,5096,0.124,0.797,0.359
6.0,7294,0.102,0.783,0.312
7.0,8648,0.081,0.706,0.224
8.0,18086,0.05,0.648,0.138
