condition,AUC,AUPRC,Brier,ECE,Sensitivity,Specificity,selection_rate
2015 test (11-feat),0.8381,0.352,0.0724,0.0099,0.6328,0.8397,0.2048
"2020 transport (11-feat, 0 imputed)",0.8403,0.3395,0.0667,0.0084,0.6105,0.855,0.1848
